@tasks 20 //T9[2] T11[4] T2[3]
T0 5 1(0) 2(0)[3] 3(0) 4(0) 5(0) 
T1 0 
T2 5 6(0) 7(0) 8(0) 9(0)[2] 12(0) 
T3 1 9(0)[2] 
T4 0 
T5 2 18(0) 19(0) 
T6 1 9(0)[2] 
T7 0 
T8 2 10(0) 11(0)[4] 
T9 0 
T10 0 
T11 0 
T12 5 13(0) 14(0) 15(0) 16(0) 17(0) 
T13 0 
T14 0 
T15 0 
T16 0 
T17 0 
T18 0 
T19 0 
@proc 4
285 0 1 
118 0 1 
0 0 0 
0 0 0 
@times 
841 693 65 58 
646 595 70 42 
(550+100+116) (353+153+42) (3+2+1) (10+8+4) 
663 335 57 54 
714 785 76 70 
729 684 69 15 
662 55 27 66 
71 897 64 51 
697 868 46 36 
(131+111) (653+7) (1+2) (8+14) 
60 679 30 27 
(223+185+42+15) (145+117+23+11) (12+14+17+21) (25+13+15+6) 
636 587 43 51 
388 519 27 16 
270 852 81 17 
432 752 9 55 
693 76 70 6 
412 805 32 53 
692 636 34 15 
824 511 69 11 
@cost 
5 40 328 293 
48 54 104 46 
(2+3+5) (1+3+7) (20+30+80) (123+150+200) 
7 69 255 183 
61 24 265 319 
31 5 47 392 
12 97 260 330 
71 36 76 111 
54 53 225 370 
(23+28) (20+28) (35+43) (123+255) 
56 17 350 145 
(5+8+15+16) (11+15+23+25) (125+153+175+201) (12+25+36+45) 
17 22 273 175 
8 23 157 213 
66 56 209 253 
14 47 459 159 
38 65 280 153 
19 32 73 367 
12 60 219 345 
25 2 257 178 
@comm 1
CHAN0 59 10 1 1 1 1 
